trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,max_epochs,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
0,2025-09-26T13:29:37.423256,0.001,32,5,0.2,5,66.81717681884766,67.50360107421875,0.0,0.0,0.4915100932121277,0.48282724618911743,0.6080746129155159,0.6086699441075325,8.199498176574707,8.17225456237793
1,2025-09-26T13:34:15.919577,0.001,32,5,0.2,10,66.88240051269531,67.18780517578125,0.0,0.0,0.4910307824611664,0.48509666323661804,0.6197568103671074,0.6204707399010658,8.191938161849976,8.194544076919556
2,2025-09-26T13:41:08.009411,0.001,32,5,0.2,15,66.9810791015625,67.1987075805664,0.0,0.0,0.49030742049217224,0.48501795530319214,0.5980469360947609,0.5988749042153358,8.252052783966064,8.21414589881897
3,2025-09-26T13:50:09.899821,0.001,32,5,0.2,20,66.82633209228516,67.22727966308594,0.0,0.0,0.49144279956817627,0.48481181263923645,0.5997429713606834,0.6005390845239162,8.320788860321045,8.221143960952759
4,2025-09-26T13:52:54.904897,0.001,32,5,0.3,5,66.81717681884766,67.50360107421875,0.0,0.0,0.4915100932121277,0.48282724618911743,0.6080746129155159,0.6086699441075325,8.258146047592163,8.230647087097168
5,2025-09-26T13:57:34.686441,0.001,32,5,0.3,10,66.88240051269531,67.18780517578125,0.0,0.0,0.4910307824611664,0.48509666323661804,0.6197568103671074,0.6204707399010658,8.273898363113403,8.19463586807251
6,2025-09-26T14:04:25.953599,0.001,32,5,0.3,15,66.9810791015625,67.1987075805664,0.0,0.0,0.49030742049217224,0.48501795530319214,0.5980469360947609,0.5988749042153358,8.2549889087677,8.276069641113281
7,2025-09-26T14:13:28.992329,0.001,32,5,0.3,20,66.82633209228516,67.22727966308594,0.0,0.0,0.49144279956817627,0.48481181263923645,0.5997429713606834,0.6005390845239162,8.30052900314331,8.2068350315094
8,2025-09-26T14:16:13.739557,0.001,32,5,0.4,5,66.81717681884766,67.50360107421875,0.0,0.0,0.4915100932121277,0.48282724618911743,0.6080746129155159,0.6086699441075325,8.286121368408203,8.191591739654541
9,2025-09-26T14:20:53.916179,0.001,32,5,0.4,10,66.88240051269531,67.18780517578125,0.0,0.0,0.4910307824611664,0.48509666323661804,0.6197568103671074,0.6204707399010658,8.29860806465149,8.17726469039917
