==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
764    0.0000       0.09         1.54         N/A          N/A         
765    0.0000       0.08         1.56         N/A          N/A         
766    0.0000       0.33         1.58         N/A          N/A         
767    0.0000       0.21         1.57         N/A          N/A         
768    0.0000       0.11         1.57         N/A          N/A         
769    0.0000       0.08         1.54         N/A          N/A         
770    0.0000       0.18         1.58         N/A          N/A         
771    0.0000       0.17         1.59         N/A          N/A         
772    0.0000       0.12         1.54         N/A          N/A         
773    0.0000       0.04         1.60         N/A          N/A         
774    0.0000       0.30         1.58         N/A          N/A         
775    0.0000       0.14         1.60         N/A          N/A         
776    0.0000       0.09         1.59         N/A          N/A         
777    0.0000       0.07         1.59         N/A          N/A         
778    0.0000       0.16         1.57         N/A          N/A         
779    0.0000       0.09         1.51         N/A          N/A         
780    0.0000       0.14         1.54         N/A          N/A         
781    0.0000       0.12         1.59         N/A          N/A         
782    0.0000       0.17         1.60         N/A          N/A         
783    0.0000       0.08         1.55         N/A          N/A         
784    0.0000       0.08         1.58         N/A          N/A         
785    0.0000       0.01         1.54         N/A          N/A         
786    0.0000       0.09         1.55         N/A          N/A         
787    0.0000       0.08         1.54         N/A          N/A         
788    0.0000       0.12         1.56         N/A          N/A         
789    0.0000       0.08         1.55         N/A          N/A         
790    0.0000       0.05         1.55         N/A          N/A         
791    0.0000       0.06         1.54         N/A          N/A         
792    0.0000       0.09         1.54         N/A          N/A         
793    0.0000       0.14         1.61         N/A          N/A         
794    0.0000       0.13         1.52         N/A          N/A         
795    0.0000       0.09         1.53         N/A          N/A         
796    0.0000       0.07         1.56         N/A          N/A         
797    0.0000       0.17         1.56         N/A          N/A         
798    0.0000       0.14         1.54         N/A          N/A         
799    0.0000       0.12         1.50         N/A          N/A         
800    0.0000       0.09         1.52         N/A          N/A         
801    0.0000       0.12         1.59         N/A          N/A         
802    0.0000       0.13         1.55         N/A          N/A         
803    0.0000       0.25         1.56         N/A          N/A         
804    0.0000       0.12         1.57         N/A          N/A         
805    0.0000       0.06         1.54         N/A          N/A         
806    0.0000       0.08         1.53         N/A          N/A         
807    0.0000       0.02         1.55         N/A          N/A         
808    0.0000       0.27         1.56         N/A          N/A         
809    0.0000       0.37         1.56         N/A          N/A         
810    0.0000       0.14         1.56         N/A          N/A         
811    0.0000       0.08         1.54         N/A          N/A         
812    0.0000       0.05         1.54         N/A          N/A         
813    0.0000       0.02         1.55         N/A          N/A         
814    0.0000       0.08         1.54         N/A          N/A         
815    0.0000       0.06         1.56         N/A          N/A         
816    0.0000       0.18         1.58         N/A          N/A         
817    0.0000       0.33         1.55         N/A          N/A         
818    0.0000       0.09         1.54         N/A          N/A         
819    0.0000       0.01         1.55         N/A          N/A         
820    0.0000       0.19         1.59         N/A          N/A         
821    0.0000       0.06         1.55         N/A          N/A         
822    0.0000       0.14         1.58         N/A          N/A         
823    0.0000       0.11         1.57         N/A          N/A         
824    0.0000       0.10         1.52         N/A          N/A         
825    0.0000       0.15         1.56         N/A          N/A         
826    0.0000       0.03         1.57         N/A          N/A         
827    0.0000       0.13         1.57         N/A          N/A         
828    0.0000       0.14         1.55         N/A          N/A         
829    0.0000       0.07         1.54         N/A          N/A         
830    0.0000       0.14         1.60         N/A          N/A         
831    0.0000       0.17         1.55         N/A          N/A         
832    0.0000       0.10         1.57         N/A          N/A         
833    0.0000       0.16         1.59         N/A          N/A         
834    0.0000       0.28         1.58         N/A          N/A         
835    0.0000       0.04         1.51         N/A          N/A         
836    0.0000       0.00         1.51         N/A          N/A         
837    0.0000       0.04         1.52         N/A          N/A         
838    0.0000       0.11         1.51         N/A          N/A         
839    0.0000       0.03         1.54         N/A          N/A         
840    0.0000       0.09         1.58         N/A          N/A         
841    0.0000       0.16         1.51         N/A          N/A         
842    0.0000       0.08         1.55         N/A          N/A         
843    0.0000       0.02         1.53         N/A          N/A         
844    0.0000       0.00         1.52         N/A          N/A         
845    0.0000       0.28         1.53         N/A          N/A         
846    0.0000       0.08         1.56         N/A          N/A         
847    0.0000       0.24         1.56         N/A          N/A         
848    0.0000       0.11         1.55         N/A          N/A         
849    0.0000       0.09         1.53         N/A          N/A         
850    0.0000       0.09         1.58         N/A          N/A         
851    0.0000       0.14         1.57         N/A          N/A         
852    0.0000       0.03         1.56         N/A          N/A         
853    0.0000       0.31         1.56         N/A          N/A         
854    0.0000       0.23         1.58         N/A          N/A         
855    0.0000       0.11         1.55         N/A          N/A         
856    0.0000       0.00         1.52         N/A          N/A         
857    0.0000       0.17         1.55         N/A          N/A         
858    0.0000       0.05         1.54         N/A          N/A         
859    0.0000       0.02         1.54         N/A          N/A         
860    0.0000       0.03         1.54         N/A          N/A         
861    0.0000       0.02         1.52         N/A          N/A         
862    0.0000       0.02         1.56         N/A          N/A         
863    0.0000       0.17         1.57         N/A          N/A         
864    0.0000       0.14         1.55         N/A          N/A         
865    0.0000       0.16         1.56         N/A          N/A         
866    0.0000       0.09         1.54         N/A          N/A         
867    0.0000       0.12         1.52         N/A          N/A         
868    0.0000       0.06         1.59         N/A          N/A         
869    0.0000       0.20         1.55         N/A          N/A         
870    0.0000       0.18         1.54         N/A          N/A         
871    0.0000       0.23         1.56         N/A          N/A         
872    0.0000       0.07         1.52         N/A          N/A         
873    0.0000       0.02         1.56         N/A          N/A         
874    0.0000       0.00         1.53         N/A          N/A         
875    0.0000       0.04         1.53         N/A          N/A         
876    0.0000       0.06         1.57         N/A          N/A         
877    0.0000       0.28         1.57         N/A          N/A         
878    0.0000       0.14         1.58         N/A          N/A         
879    0.0000       0.01         1.53         N/A          N/A         
880    0.0000       0.06         1.50         N/A          N/A         
881    0.0000       0.15         1.59         N/A          N/A         
882    0.0000       0.08         1.57         N/A          N/A         
883    0.0000       0.16         1.58         N/A          N/A         
884    0.0000       0.18         1.55         N/A          N/A         
885    0.0000       0.03         1.55         N/A          N/A         
886    0.0000       0.09         1.56         N/A          N/A         
887    0.0000       0.12         1.57         N/A          N/A         
888    0.0000       0.22         1.58         N/A          N/A         
889    0.0000       0.13         1.59         N/A          N/A         
890    0.0001       0.39         1.56         N/A          N/A         
891    0.0000       0.21         1.53         N/A          N/A         
892    0.0000       0.07         1.60         N/A          N/A         
893    0.0000       0.09         1.54         N/A          N/A         
894    0.0000       0.17         1.57         N/A          N/A         
895    0.0000       0.07         1.55         N/A          N/A         
896    0.0000       0.07         1.55         N/A          N/A         
897    0.0000       0.02         1.57         N/A          N/A         
898    0.0000       0.06         1.57         N/A          N/A         
899    0.0000       0.22         1.57         N/A          N/A         
900    0.0000       0.10         1.53         N/A          N/A         
901    0.0000       0.07         1.59         N/A          N/A         
902    0.0000       0.09         1.56         N/A          N/A         
903    0.0000       0.20         1.53         N/A          N/A         
904    0.0000       0.19         1.58         N/A          N/A         
905    0.0000       0.14         1.55         N/A          N/A         
906    0.0000       0.12         1.58         N/A          N/A         
907    0.0000       0.17         1.56         N/A          N/A         
908    0.0000       0.09         1.52         N/A          N/A         
909    0.0000       0.02         1.54         N/A          N/A         
910    0.0000       0.12         1.53         N/A          N/A         
911    0.0000       0.12         1.57         N/A          N/A         
912    0.0000       0.04         1.54         N/A          N/A         
913    0.0000       0.11         1.60         N/A          N/A         
914    0.0000       0.24         1.55         N/A          N/A         
915    0.0000       0.04         1.52         N/A          N/A         
916    0.0000       0.03         1.56         N/A          N/A         
917    0.0000       0.12         1.52         N/A          N/A         
918    0.0000       0.09         1.58         N/A          N/A         
919    0.0000       0.08         1.53         N/A          N/A         
920    0.0000       0.15         1.54         N/A          N/A         
921    0.0000       0.02         1.53         N/A          N/A         
922    0.0000       0.15         1.54         N/A          N/A         
923    0.0000       0.20         1.60         N/A          N/A         
924    0.0000       0.10         1.56         N/A          N/A         
925    0.0000       0.09         1.61         N/A          N/A         
926    0.0000       0.29         1.56         N/A          N/A         
927    0.0000       0.15         1.56         N/A          N/A         
928    0.0000       0.05         1.55         N/A          N/A         
929    0.0000       0.16         1.56         N/A          N/A         
930    0.0000       0.19         1.56         N/A          N/A         
931    0.0000       0.32         1.55         N/A          N/A         
932    0.0000       0.35         1.57         N/A          N/A         
933    0.0000       0.03         1.55         N/A          N/A         
934    0.0000       0.04         1.57         N/A          N/A         
935    0.0000       0.03         1.52         N/A          N/A         
936    0.0000       0.20         1.56         N/A          N/A         
937    0.0000       0.17         1.56         N/A          N/A         
938    0.0000       0.15         1.54         N/A          N/A         
939    0.0000       0.02         1.56         N/A          N/A         
940    0.0000       0.08         1.57         N/A          N/A         
941    0.0000       0.28         1.57         N/A          N/A         
942    0.0000       0.15         1.55         N/A          N/A         
943    0.0000       0.03         1.56         N/A          N/A         
944    0.0000       0.05         1.53         N/A          N/A         
945    0.0000       0.07         1.59         N/A          N/A         
946    0.0000       0.18         1.55         N/A          N/A         
947    0.0000       0.02         1.54         N/A          N/A         
948    0.0000       0.16         1.55         N/A          N/A         
949    0.0000       0.06         1.57         N/A          N/A         
950    0.0000       0.07         1.54         N/A          N/A         
951    0.0000       0.07         1.58         N/A          N/A         
952    0.0000       0.09         1.53         N/A          N/A         
953    0.0000       0.00         1.51         N/A          N/A         
954    0.0000       0.06         1.54         N/A          N/A         
955    0.0000       0.20         1.56         N/A          N/A         
956    0.0000       0.04         1.52         N/A          N/A         
957    0.0000       0.32         1.61         N/A          N/A         
958    0.0000       0.12         1.59         N/A          N/A         
959    0.0000       0.21         1.58         N/A          N/A         
960    0.0000       0.07         1.49         N/A          N/A         
961    0.0000       0.10         1.57         N/A          N/A         
962    0.0000       0.03         1.54         N/A          N/A         
963    0.0000       0.01         1.58         N/A          N/A         
964    0.0000       0.06         1.52         N/A          N/A         
965    0.0000       0.21         1.57         N/A          N/A         
966    0.0000       0.07         1.54         N/A          N/A         
967    0.0000       0.07         1.55         N/A          N/A         
968    0.0000       0.11         1.56         N/A          N/A         
969    0.0000       0.09         1.54         N/A          N/A         
970    0.0000       0.00         1.52         N/A          N/A         
971    0.0000       0.12         1.53         N/A          N/A         
972    0.0000       0.22         1.55         N/A          N/A         
973    0.0000       0.10         1.56         N/A          N/A         
974    0.0000       0.06         1.55         N/A          N/A         
975    0.0000       0.08         1.57         N/A          N/A         
976    0.0000       0.04         1.54         N/A          N/A         
977    0.0000       0.13         1.55         N/A          N/A         
978    0.0000       0.14         1.57         N/A          N/A         
979    0.0000       0.10         1.57         N/A          N/A         
980    0.0000       0.09         1.53         N/A          N/A         
981    0.0000       0.03         1.56         N/A          N/A         
982    0.0000       0.13         1.55         N/A          N/A         
983    0.0000       0.07         1.51         N/A          N/A         
984    0.0000       0.15         1.55         N/A          N/A         
985    0.0000       0.06         1.61         N/A          N/A         
986    0.0000       0.09         1.55         N/A          N/A         
987    0.0000       0.05         1.56         N/A          N/A         
988    0.0000       0.08         1.55         N/A          N/A         
989    0.0000       0.19         1.51         N/A          N/A         
990    0.0000       0.06         1.50         N/A          N/A         
991    0.0000       0.09         1.56         N/A          N/A         
992    0.0000       0.23         1.54         N/A          N/A         
993    0.0000       0.14         1.58         N/A          N/A         
994    0.0000       0.06         1.56         N/A          N/A         
995    0.0000       0.04         1.55         N/A          N/A         
996    0.0000       0.13         1.54         N/A          N/A         
997    0.0000       0.16         1.61         N/A          N/A         
998    0.0000       0.10         1.58         N/A          N/A         
999    0.0000       0.03         1.54         N/A          N/A         
1000   0.0000       0.14         1.52         N/A          N/A         
1001   0.0000       0.10         1.55         N/A          N/A         
1002   0.0000       0.24         1.52         N/A          N/A         
1003   0.0000       0.36         1.55         N/A          N/A         
1004   0.0000       0.09         1.55         N/A          N/A         
1005   0.0000       0.05         1.52         N/A          N/A         
1006   0.0000       0.09         1.55         N/A          N/A         
1007   0.0000       0.14         1.56         N/A          N/A         
1008   0.0000       0.12         1.61         N/A          N/A         
1009   0.0000       0.20         1.59         N/A          N/A         
1010   0.0000       0.20         1.59         N/A          N/A         
1011   0.0000       0.02         1.56         N/A          N/A         
1012   0.0000       0.12         1.56         N/A          N/A         
1013   0.0000       0.11         1.55         N/A          N/A         
1014   0.0000       0.10         1.53         N/A          N/A         
1015   0.0000       0.12         1.53         N/A          N/A         
1016   0.0000       0.21         1.53         N/A          N/A         
1017   0.0000       0.21         1.55         N/A          N/A         
1018   0.0000       0.08         1.49         N/A          N/A         
1019   0.0000       0.02         1.59         N/A          N/A         
1020   0.0000       0.21         1.58         N/A          N/A         
1021   0.0000       0.05         1.54         N/A          N/A         
1022   0.0000       0.18         1.54         N/A          N/A         
1023   0.0000       0.11         1.56         N/A          N/A         
1024   0.0000       0.07         1.56         N/A          N/A         
1025   0.0000       0.07         1.55         N/A          N/A         
1026   0.0000       0.11         1.58         N/A          N/A         
1027   0.0000       0.14         1.57         N/A          N/A         
1028   0.0000       0.14         1.59         N/A          N/A         
1029   0.0000       0.02         1.53         N/A          N/A         
1030   0.0000       0.09         1.57         N/A          N/A         
1031   0.0000       0.11         1.53         N/A          N/A         
1032   0.0000       0.13         1.56         N/A          N/A         
1033   0.0000       0.13         1.59         N/A          N/A         
1034   0.0000       0.09         1.56         N/A          N/A         
1035   0.0000       0.24         1.57         N/A          N/A         
1036   0.0000       0.17         1.58         N/A          N/A         
1037   0.0000       0.19         1.58         N/A          N/A         
1038   0.0000       0.09         1.56         N/A          N/A         
1039   0.0000       0.23         1.55         N/A          N/A         
1040   0.0000       0.12         1.56         N/A          N/A         
1041   0.0000       0.06         1.53         N/A          N/A         
1042   0.0000       0.05         1.52         N/A          N/A         
1043   0.0000       0.12         1.57         N/A          N/A         
1044   0.0000       0.23         1.56         N/A          N/A         
1045   0.0000       0.15         1.53         N/A          N/A         
1046   0.0000       0.17         1.56         N/A          N/A         
1047   0.0000       0.20         1.57         N/A          N/A         
1048   0.0000       0.31         1.57         N/A          N/A         
1049   0.0000       0.03         1.54         N/A          N/A         
1050   0.0000       0.23         1.55         N/A          N/A         
1051   0.0000       0.15         1.59         N/A          N/A         
1052   0.0000       0.17         1.61         N/A          N/A         
1053   0.0000       0.08         1.52         N/A          N/A         
1054   0.0000       0.06         1.56         N/A          N/A         
1055   0.0000       0.04         1.58         N/A          N/A         
1056   0.0000       0.09         1.58         N/A          N/A         
1057   0.0000       0.11         1.57         N/A          N/A         
1058   0.0000       0.12         1.58         N/A          N/A         
1059   0.0000       0.15         1.54         N/A          N/A         
1060   0.0000       0.13         1.54         N/A          N/A         
1061   0.0000       0.09         1.55         N/A          N/A         
1062   0.0000       0.13         1.54         N/A          N/A         
1063   0.0000       0.22         1.59         N/A          N/A         
1064   0.0000       0.10         1.57         N/A          N/A         
1065   0.0000       0.15         1.55         N/A          N/A         
1066   0.0000       0.17         1.58         N/A          N/A         
1067   0.0000       0.16         1.56         N/A          N/A         
1068   0.0000       0.35         1.58         N/A          N/A         
1069   0.0000       0.11         1.57         N/A          N/A         
1070   0.0000       0.16         1.61         N/A          N/A         
1071   0.0000       0.03         1.59         N/A          N/A         
1072   0.0000       0.10         1.55         N/A          N/A         
1073   0.0000       0.14         1.55         N/A          N/A         
1074   0.0000       0.01         1.54         N/A          N/A         
1075   0.0000       0.08         1.54         N/A          N/A         
1076   0.0000       0.13         1.53         N/A          N/A         
1077   0.0000       0.13         1.55         N/A          N/A         
1078   0.0000       0.08         1.53         N/A          N/A         
1079   0.0000       0.24         1.60         N/A          N/A         
1080   0.0000       0.17         1.55         N/A          N/A         
1081   0.0000       0.20         1.52         N/A          N/A         
1082   0.0000       0.23         1.55         N/A          N/A         
1083   0.0000       0.07         1.56         N/A          N/A         
1084   0.0000       0.16         1.52         N/A          N/A         
1085   0.0000       0.07         1.55         N/A          N/A         
1086   0.0000       0.24         1.57         N/A          N/A         
1087   0.0000       0.09         1.55         N/A          N/A         
1088   0.0000       0.11         1.57         N/A          N/A         
1089   0.0000       0.35         1.58         N/A          N/A         
1090   0.0000       0.16         1.58         N/A          N/A         
1091   0.0000       0.14         1.56         N/A          N/A         
1092   0.0000       0.13         1.52         N/A          N/A         
1093   0.0000       0.15         1.55         N/A          N/A         
1094   0.0000       0.15         1.57         N/A          N/A         
1095   0.0000       0.12         1.53         N/A          N/A         
1096   0.0000       0.03         1.52         N/A          N/A         
1097   0.0000       0.09         1.54         N/A          N/A         
1098   0.0000       0.12         1.60         N/A          N/A         
1099   0.0000       0.12         1.57         N/A          N/A         
1100   0.0000       0.10         1.56         N/A          N/A         
1101   0.0000       0.22         1.54         N/A          N/A         
1102   0.0000       0.14         1.55         N/A          N/A         
1103   0.0000       0.03         1.52         N/A          N/A         
1104   0.0000       0.18         1.54         N/A          N/A         
1105   0.0000       0.04         1.53         N/A          N/A         
1106   0.0000       0.19         1.58         N/A          N/A         
1107   0.0000       0.07         1.55         N/A          N/A         
1108   0.0000       0.06         1.56         N/A          N/A         
1109   0.0000       0.14         1.53         N/A          N/A         
1110   0.0000       0.11         1.53         N/A          N/A         
1111   0.0000       0.06         1.52         N/A          N/A         
1112   0.0000       0.05         1.59         N/A          N/A         
1113   0.0000       0.06         1.52         N/A          N/A         
1114   0.0000       0.04         1.55         N/A          N/A         
1115   0.0000       0.18         1.56         N/A          N/A         
1116   0.0000       0.15         1.55         N/A          N/A         
1117   0.0000       0.06         1.53         N/A          N/A         
1118   0.0000       0.12         1.56         N/A          N/A         
1119   0.0000       0.06         1.57         N/A          N/A         
1120   0.0000       0.08         1.55         N/A          N/A         
1121   0.0000       0.04         1.56         N/A          N/A         
1122   0.0000       0.06         1.58         N/A          N/A         
1123   0.0000       0.05         1.60         N/A          N/A         
1124   0.0000       0.22         1.55         N/A          N/A         
1125   0.0000       0.13         1.58         N/A          N/A         
1126   0.0000       0.29         1.55         N/A          N/A         
1127   0.0000       0.03         1.57         N/A          N/A         
1128   0.0000       0.14         1.54         N/A          N/A         
1129   0.0000       0.17         1.56         N/A          N/A         
1130   0.0000       0.15         1.56         N/A          N/A         
1131   0.0000       0.15         1.57         N/A          N/A         
1132   0.0000       0.12         1.54         N/A          N/A         
1133   0.0000       0.20         1.56         N/A          N/A         
1134   0.0000       0.12         1.54         N/A          N/A         
1135   0.0000       0.14         1.56         N/A          N/A         
1136   0.0000       0.03         1.52         N/A          N/A         
1137   0.0000       0.06         1.57         N/A          N/A         
1138   0.0000       0.09         1.58         N/A          N/A         
1139   0.0000       0.14         1.55         N/A          N/A         
1140   0.0000       0.16         1.55         N/A          N/A         
1141   0.0000       0.11         1.57         N/A          N/A         
1142   0.0000       0.28         1.57         N/A          N/A         
1143   0.0000       0.08         1.55         N/A          N/A         
1144   0.0000       0.14         1.56         N/A          N/A         
1145   0.0000       0.18         1.56         N/A          N/A         
1146   0.0000       0.27         1.62         N/A          N/A         
1147   0.0000       0.16         1.58         N/A          N/A         
1148   0.0000       0.07         1.55         N/A          N/A         
1149   0.0000       0.26         1.57         N/A          N/A         
1150   0.0000       0.06         1.57         N/A          N/A         
1151   0.0000       0.07         1.58         N/A          N/A         
1152   0.0000       0.12         1.53         N/A          N/A         
1153   0.0000       0.08         1.53         N/A          N/A         
1154   0.0000       0.09         1.49         N/A          N/A         
1155   0.0000       0.10         1.51         N/A          N/A         
1156   0.0000       0.07         1.57         N/A          N/A         
1157   0.0000       0.11         1.58         N/A          N/A         
1158   0.0000       0.11         1.57         N/A          N/A         
1159   0.0000       0.26         1.58         N/A          N/A         
1160   0.0000       0.13         1.55         N/A          N/A         
1161   0.0000       0.25         1.53         N/A          N/A         
1162   0.0000       0.17         1.58         N/A          N/A         
1163   0.0000       0.06         1.51         N/A          N/A         
1164   0.0000       0.34         1.59         N/A          N/A         
1165   0.0000       0.11         1.56         N/A          N/A         
1166   0.0000       0.07         1.53         N/A          N/A         
1167   0.0000       0.14         1.57         N/A          N/A         
1168   0.0000       0.15         1.55         N/A          N/A         
1169   0.0000       0.18         1.55         N/A          N/A         
1170   0.0000       0.01         1.52         N/A          N/A         
1171   0.0000       0.13         1.58         N/A          N/A         
1172   0.0000       0.15         1.60         N/A          N/A         
1173   0.0000       0.11         1.56         N/A          N/A         
1174   0.0000       0.11         1.57         N/A          N/A         
1175   0.0000       0.11         1.52         N/A          N/A         
1176   0.0000       0.05         1.55         N/A          N/A         
1177   0.0000       0.10         1.50         N/A          N/A         
1178   0.0000       0.11         1.57         N/A          N/A         
1179   0.0000       0.12         1.58         N/A          N/A         
1180   0.0000       0.04         1.57         N/A          N/A         
1181   0.0000       0.07         1.57         N/A          N/A         
1182   0.0000       0.14         1.56         N/A          N/A         
1183   0.0000       0.11         1.55         N/A          N/A         
1184   0.0000       0.03         1.52         N/A          N/A         
1185   0.0000       0.28         1.58         N/A          N/A         
1186   0.0000       0.09         1.52         N/A          N/A         
1187   0.0000       0.03         1.57         N/A          N/A         
1188   0.0000       0.19         1.60         N/A          N/A         
1189   0.0000       0.15         1.52         N/A          N/A         
1190   0.0000       0.07         1.56         N/A          N/A         
1191   0.0000       0.09         1.54         N/A          N/A         
1192   0.0000       0.07         1.55         N/A          N/A         
1193   0.0000       0.22         1.55         N/A          N/A         
1194   0.0000       0.02         1.57         N/A          N/A         
1195   0.0000       0.14         1.59         N/A          N/A         
1196   0.0000       0.07         1.55         N/A          N/A         
1197   0.0000       0.23         1.57         N/A          N/A         
1198   0.0000       0.18         1.55         N/A          N/A         
1199   0.0000       0.15         1.54         N/A          N/A         
1200   0.0000       0.07         1.57         N/A          N/A         
1201   0.0000       0.12         1.54         N/A          N/A         
1202   0.0000       0.11         1.61         N/A          N/A         
1203   0.0000       0.16         1.57         N/A          N/A         
1204   0.0000       0.12         1.56         N/A          N/A         
1205   0.0000       0.20         1.53         N/A          N/A         
1206   0.0000       0.14         1.57         N/A          N/A         
1207   0.0001       0.20         1.59         N/A          N/A         
1208   0.0000       0.29         1.57         N/A          N/A         
1209   0.0000       0.03         1.55         N/A          N/A         
1210   0.0000       0.21         1.57         N/A          N/A         
1211   0.0000       0.04         1.54         N/A          N/A         
1212   0.0000       0.15         1.55         N/A          N/A         
1213   0.0000       0.24         1.57         N/A          N/A         
1214   0.0000       0.09         1.53         N/A          N/A         
1215   0.0000       0.07         1.56         N/A          N/A         
1216   0.0000       0.07         1.60         N/A          N/A         
1217   0.0000       0.07         1.58         N/A          N/A         
1218   0.0000       0.23         1.59         N/A          N/A         
1219   0.0000       0.08         1.55         N/A          N/A         
1220   0.0000       0.17         1.60         N/A          N/A         
1221   0.0000       0.39         1.57         N/A          N/A         
1222   0.0000       0.12         1.52         N/A          N/A         
1223   0.0000       0.06         1.53         N/A          N/A         
1224   0.0000       0.10         1.55         N/A          N/A         
1225   0.0000       0.01         1.54         N/A          N/A         
1226   0.0000       0.14         1.55         N/A          N/A         
1227   0.0000       0.16         1.56         N/A          N/A         
1228   0.0000       0.06         1.59         N/A          N/A         
1229   0.0000       0.14         1.55         N/A          N/A         
1230   0.0000       0.01         1.57         N/A          N/A         
1231   0.0000       0.07         1.55         N/A          N/A         
1232   0.0000       0.08         1.52         N/A          N/A         
1233   0.0000       0.09         1.54         N/A          N/A         
1234   0.0000       0.16         1.54         N/A          N/A         
1235   0.0000       0.14         1.59         N/A          N/A         
1236   0.0000       0.07         1.57         N/A          N/A         
1237   0.0000       0.05         1.56         N/A          N/A         
1238   0.0000       0.10         1.56         N/A          N/A         
1239   0.0000       0.03         1.57         N/A          N/A         
1240   0.0000       0.10         1.54         N/A          N/A         
1241   0.0000       0.10         1.58         N/A          N/A         
1242   0.0000       0.13         1.55         N/A          N/A         
1243   0.0000       0.09         1.56         N/A          N/A         
1244   0.0000       0.18         1.58         N/A          N/A         
1245   0.0000       0.27         1.53         N/A          N/A         
1246   0.0000       0.06         1.56         N/A          N/A         
1247   0.0000       0.40         1.59         N/A          N/A         
1248   0.0000       0.13         1.58         N/A          N/A         
1249   0.0000       0.05         1.54         N/A          N/A         
1250   0.0000       0.01         1.51         N/A          N/A         
1251   0.0000       0.03         1.56         N/A          N/A         
1252   0.0000       0.06         1.55         N/A          N/A         
1253   0.0000       0.14         1.54         N/A          N/A         
1254   0.0000       0.08         1.60         N/A          N/A         
1255   0.0000       0.05         1.56         N/A          N/A         
1256   0.0000       0.22         1.56         N/A          N/A         
1257   0.0000       0.09         1.56         N/A          N/A         
1258   0.0000       0.20         1.56         N/A          N/A         
1259   0.0000       0.38         1.54         N/A          N/A         
1260   0.0000       0.29         1.58         N/A          N/A         
1261   0.0000       0.04         1.54         N/A          N/A         
1262   0.0000       0.11         1.56         N/A          N/A         
1263   0.0000       0.05         1.57         N/A          N/A         
1264   0.0000       0.10         1.56         N/A          N/A         
1265   0.0000       0.22         1.58         N/A          N/A         
1266   0.0000       0.05         1.54         N/A          N/A         
1267   0.0000       0.18         1.56         N/A          N/A         
1268   0.0000       0.01         1.53         N/A          N/A         
1269   0.0000       0.13         1.55         N/A          N/A         
1270   0.0000       0.14         1.57         N/A          N/A         
1271   0.0000       0.03         1.53         N/A          N/A         
1272   0.0000       0.00         1.55         N/A          N/A         
1273   0.0000       0.13         1.57         N/A          N/A         
1274   0.0000       0.05         1.49         N/A          N/A         
1275   0.0000       0.12         1.56         N/A          N/A         
1276   0.0000       0.05         1.54         N/A          N/A         
1277   0.0000       0.08         1.53         N/A          N/A         
1278   0.0000       0.12         1.50         N/A          N/A         
1279   0.0000       0.06         1.54         N/A          N/A         
1280   0.0000       0.08         1.56         N/A          N/A         
1281   0.0000       0.12         1.55         N/A          N/A         
1282   0.0000       0.11         1.57         N/A          N/A         
1283   0.0000       0.19         1.56         N/A          N/A         
1284   0.0000       0.18         1.54         N/A          N/A         
1285   0.0000       0.01         1.55         N/A          N/A         
1286   0.0000       0.34         1.57         N/A          N/A         
1287   0.0000       0.00         1.56         N/A          N/A         
1288   0.0000       0.06         1.57         N/A          N/A         
1289   0.0000       0.13         1.58         N/A          N/A         
1290   0.0000       0.13         1.58         N/A          N/A         
1291   0.0000       0.05         1.55         N/A          N/A         
1292   0.0000       0.10         1.57         N/A          N/A         
1293   0.0000       0.23         1.59         N/A          N/A         
1294   0.0000       0.06         1.56         N/A          N/A         
1295   0.0000       0.10         1.59         N/A          N/A         
1296   0.0000       0.08         1.55         N/A          N/A         
1297   0.0000       0.13         1.58         N/A          N/A         
1298   0.0000       0.06         1.58         N/A          N/A         
1299   0.0000       0.05         1.58         N/A          N/A         
1300   0.0000       0.08         1.55         N/A          N/A         
1301   0.0000       0.11         1.54         N/A          N/A         
1302   0.0000       0.03         1.55         N/A          N/A         
1303   0.0000       0.18         1.59         N/A          N/A         
1304   0.0000       0.06         1.54         N/A          N/A         
1305   0.0000       0.08         1.60         N/A          N/A         
1306   0.0000       0.28         1.58         N/A          N/A         
1307   0.0000       0.07         1.53         N/A          N/A         
1308   0.0000       0.09         1.57         N/A          N/A         
1309   0.0000       0.06         1.54         N/A          N/A         
1310   0.0000       0.00         1.51         N/A          N/A         
1311   0.0000       0.32         1.60         N/A          N/A         
1312   0.0000       0.05         1.55         N/A          N/A         
1313   0.0000       0.04         1.53         N/A          N/A         
1314   0.0000       0.04         1.53         N/A          N/A         
1315   0.0000       0.00         1.52         N/A          N/A         
1316   0.0000       0.08         1.58         N/A          N/A         
1317   0.0000       0.07         1.56         N/A          N/A         
1318   0.0000       0.07         1.55         N/A          N/A         
